"Reject","HITID","AssignmentID"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","30BXRYBRP4X7MH68ZHRE94KKHM2HW5"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","30BXRYBRP4X7MH68ZHRE94KKHMSWHA"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","30IQTZXKAK6B0H52BEGF5VZA46OX0S"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","30X31N5D63QZ5DHL967LVTUVYE2ASU"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","31QTRG6Q2TD3O3ZWXVH73A7RELBPYG"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","31T4R4OBOSG1FUUR5H516XONB3LC7M"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","326O153BMIYWT1FFSLEIWDYMIQ7DEF"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","32SCWG5HIH415JPQRCMFKJNYFBF6PU"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","32SCWG5HIH415JPQRCMFKJNYFBMP6K"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","32Z9ZLUT1LKZH8X68V04SA7YEJIOHD"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","33NF62TLXJ2CIN7HY3BWX66477SJKB"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","33SA9F9TRXUV27F69GJ8O1N7P5PEWZ"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","345LHZDEDXSF05A4PWNBNMYDD19U3C"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","37TD41K0AH9NYSEJTK3C1OKJYHXSCO"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","37XITHEISW9BXDE6EV37BEFNCFDRCY"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","38F71OA9GTWR39LO0PXRXL6G35AMFK"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","39GHHAVOMFRR4LIEDBOGQPH8AMM4JS"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","39N5ACM9HENON2ROPJPR4TE05CNP9O"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3AAPLD8UCCHFU02E4CM3MKDLDRXTH2"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3DOCMVPBTNE99JJ5AEV4I54PAMZNNL"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3E7TUJ2EGCMFY5OYKAYW4ZXBRU29DE"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3EWIJTFFVO72UHELG9QNH6E3O1X0E8"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3F1567XTNW59NES3PW4G4Y4AA8F9Q5"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3F6KKYWMNB10N7SSLKH1M0SVWI1DNX"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3FTYUGLFSULWXIMMHKLFSJS95WKD5O"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3G0WWMR1UVKUCGWXQ6NLMZZUFW8QNV"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3GGAI1SQEVYK0X1E9N7QPFLD6RZMCO"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3HFNH7HEMHEO2OFB32AQWFQXEL6QG9"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3HUTX6F6VUNV2IUOPAXX561WP1IO2F"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3I02618YA06M7UFRNUKI0P1EIX0PUI"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3I33IC7ZWF260E0NFRSF4BHR0KE2AU"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3IO1LGZLK9XGZRQ95VK4YXS8Q1I86F"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3IOEN3P9S7JYOR6O6ABPJN50CVE61V"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3IX2EGZR7BJY5RKCONKTYISI2ZLRJB"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3JC6VJ2SABJYZBJAXAUD2IK3KU7A55"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3K5TEWLKGVBU3NHNFP43NE2LAQIIVS"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3KIBXJ1WD5UQJYYEEG3152NQ61AKO3"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3KMS4QQVK2QWDLLLFDKBI8ECE04FKX"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3KOPY89HM826MPZADXJXGKP2WL93JN"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3M0NZ3JDP1YZ0JRI92ACJBBCTFC5ZZ"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3MMN5BL1WZ4WNX5VGUWPWCHJ0EK3M5"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3N2BF7Y2VQUBH5CUVFLR06ITJK9HMZ"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3NL0RFNU0FNMF5OWVWOSR4HLP9NK44"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3NPFYT4IZC48BLGNPG5IQNMQBOVXGF"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3NPI0JQDAO577H02NPU8VTFCZIBPT7"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3OJSZ2ATDSWGG9LCQ7ITSRIDJMN57V"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3OVHNO1VE61U4W6BO8SVHNZ46XRZDK"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3OWEPKL089CK6YRIU7EFM8IZA757N5"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3OXV7EAXLEQUYUK3TEP87GKXAFM36E"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3P4RDNWND56LCSHTY0QKKQRRF2OJIJ"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3PMBY0YE2735TDIKKE3LKTFT6SQC9D"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3PZDLQMM0TLUTTXLZ5O6A67F0OH2CG"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3Q5C1WP23M125N6A1R1KRHR0G0Z156"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3Q8GYXHFEP2MSQG8HOQ48DARKXR5C1"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3QEMNNSB2XZBKM055D0CQ365W3RD7H"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3QUO65DNQUO4MU3Q8U73BPWO8TOOUM"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3QY7M81QH7MJYS6FXUMZUG1VGBG7KE"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3RRCEFRB7MCLM2K2PJBZS1YV2G0B4Z"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3RSDURM96AMZRCA6OH1W9Y8N0EXYES"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3SB5N7Y3O340EVACM4GBH9ZF1H7G00"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3SB5N7Y3O340EVACM4GBH9ZF1H80GL"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3SNLUL3WO4NWG90TV2RBJ8SUDODLUW"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3TXWC2NHNZQL0U7GH0TLZYJBSWQ9SK"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3U4J9857OEBI5P2LRH96VDI5TIU7BJ"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3U84XHCDICDH40NIVXR2EJ5YTJMZ4T"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3VJ40NV2QINPMHO18PHT6TAMPEROT3"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3VNXK88KKCI1SMOKBVYQAL3IRZA9VD"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3W2LOLRXLBFTGBQU68K5ZXSVHOMKR4"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3WJEQKOXA82ZBTIRWNS1ZS7M8E11AD"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3X08E93BHVITVD7LCGN6EJWHK6V66U"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3XC1O3LBOSMHGWL4VX11EC6SU9PLTM"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3XC1O3LBOSMHGWL4VX11EC6SUA7TLE"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3XM0HYN6NKZ5IYI5XU5DW7FBW92PEX"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3ZPBJO59KP18DB6HIMMOHGVZA60HD0"
