"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-ai_responders_033118","UPDATE-ai_responders_033118","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A10FN6L2S91E8D","https://requester.mturk.com/workers/A10FN6L2S91E8D","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A10GJ2FOR16B2I","https://requester.mturk.com/workers/A10GJ2FOR16B2I","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A10HEV2856GIQL","https://requester.mturk.com/workers/A10HEV2856GIQL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A110JBKYAC0WAW","https://requester.mturk.com/workers/A110JBKYAC0WAW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A1187B8YT74YAJ","https://requester.mturk.com/workers/A1187B8YT74YAJ","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A11LG8NBTHZ2GT","https://requester.mturk.com/workers/A11LG8NBTHZ2GT","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A11QDNT3W7DT7K","https://requester.mturk.com/workers/A11QDNT3W7DT7K","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A11R8G0FYA2UVQ","https://requester.mturk.com/workers/A11R8G0FYA2UVQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A11W7R2O4RQSSS","https://requester.mturk.com/workers/A11W7R2O4RQSSS","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A1247PYAVEPWTX","https://requester.mturk.com/workers/A1247PYAVEPWTX","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
