"WorkerID","UPDATE-ai_responders_033118"
"A10FN6L2S91E8D",1
"A10GJ2FOR16B2I",1
"A10HEV2856GIQL",1
"A110JBKYAC0WAW",1
"A1187B8YT74YAJ",1
"A11LG8NBTHZ2GT",1
"A11QDNT3W7DT7K",1
"A11R8G0FYA2UVQ",1
"A11W7R2O4RQSSS",1
"A1247PYAVEPWTX",1
"A1274B3RL8IZ8H",1
"A12JKSH2NE5W9N",1
"A12NO2MNOIREXA",1
"A138LSJBBLOR8Q",1
"A13AHQUWGR063",1
"A13FUEPWBCLBUY",1
"A146Z2MR3JKD39",1
"A14NSVH4W27CK0",1
"A14OQ52EFQAN2W",1
"A14QHFJ52HGE6Q",1
"A14WLAP6TCEKO0",1
"A159KNKNX9RYUL",1
"A15QGLWS8CNJFU",1
"A15YE29S9WR0O6",1
"A16RUB5JYN4UV7",1
"A171S8E9IFSHH2",1
"A17HFDRWYZL1CD",1
"A17ZMF7GGP6HKO",1
"A18U9WMYFYJPR6",1
"A19APXLPQCWZ8S",1
"A19L8SNH73AX1Z",1
"A19LVWX8ZLO6CS",1
"A1A2X0T1XE8K89",1
"A1A6UVH1CCP8CD",1
"A1AIHLAEJ8FU4J",1
"A1AUBV4SO8NZLS",1
"A1B592DM38HTL4",1
"A1BBZ5EMNSCZJR",1
"A1BQBQG2GNY8AY",1
"A1BYFEAGNTPRJD",1
"A1BZNPQ0H7ZSER",1
"A1CE2XPYCDRHVZ",1
"A1CZ2GB5LZ9O5H",1
"A1D4CMVMBTSIJQ",1
"A1DJEWE7PY7YQX",1
"A1DXSFFL5HZ1NX",1
"A1ER6B1KB5OJ7F",1
"A1FVCMGXK85014",1
"A1H8I7FOW3HWD3",1
"A1H9L9ARVCMJMX",1
"A1HIQZEC2ER7GS",1
"A1HMO9XPRPUPWJ",1
"A1HSRWOEK6ZJPR",1
"A1HYMGPYXU97ZN",1
"A1ICTVF6SGBTH7",1
"A1IYHQPPOACU83",1
"A1J17BE20G6DKA",1
"A1J4N2SE30LCUH",1
"A1K2E8ICV5LAJ2",1
"A1K8QNLYYYX21W",1
"A1KFK92GEFQ9F5",1
"A1KRYIRDA2OOWC",1
"A1KWIJXTC47YWE",1
"A1L030CL30QW2U",1
"A1L6D082DPMF3N",1
"A1MR7D47A08P4Y",1
"A1NAGLVAIALY55",1
"A1NH9NLE8FFVSW",1
"A1NLW5ZS2WQR35",1
"A1NM7ZPZ3NH412",1
"A1NO4N6E04SAOR",1
"A1NOR6E0WT0Y14",1
"A1NXDNRUNL87XN",1
"A1OWD5ZK1MLAIF",1
"A1P0MXIDPXPW07",1
"A1PD0NGV29HX0W",1
"A1PUIGT83JOHH6",1
"A1PVWZ8ZYJHCOJ",1
"A1Q2C5GJTB09WW",1
"A1QEQOI98976S0",1
"A1QTFE8FVK3HMG",1
"A1QWL8FRLNDJB",1
"A1R4F6EPXA3VCL",1
"A1RQQFUQ2GU9IZ",1
"A1SP3GBRZKMWZJ",1
"A1SU8C0D1IJYTN",1
"A1SUNH15I9VI6J",1
"A1T0NW527WZT7G",1
"A1TBUUGHEBVRYA",1
"A1TCMO3C454JLC",1
"A1TS65VCOO8WXC",1
"A1V6CNMLV3QQIX",1
"A1VE6VNQJO0U88",1
"A1VJ4ZOXP9PUCP",1
"A1WCD91LFG8BQX",1
"A1WTIPXQDJIMUI",1
"A1X59Q57OOJUH7",1
"A1XKCT8RLIKB5Z",1
"A1XTZBD6M60PYD",1
"A1XZ40T91S5YFU",1
"A1Y7I81X0OVNSY",1
"A1YBUA89N9CV2N",1
"A1YFVXP4A1CXSF",1
"A1YI1H05AQ3ING",1
"A1YY98SJG37KSU",1
"A1ZRK6K5JUPJAV",1
"A1ZT0XICAVUFTD",1
"A201PHANVNEC8I",1
