"ResponseId","mTurkCode","IPAddress","LocationLatitude","LocationLongitude","StartDate","EndDate","duration_seconds","gender","education_level","house_income","AI_educated","AI_attitude","learn_anything","assignment_undesirable","assignment_jobs","assignment_oversight","assignment_recommender","assignment_beneficial","score_undesirable","score_jobs","score_oversight","score_recommender","score_beneficial","control_undesirable","control_jobs","control_oversight","control_recommender","control_beneficial","treat_undesirable","treat_jobs","treat_oversight","treat_recommender","treat_beneficial","attention_question_code","attention_question","attention_correct"
"R_1OBjCNWddYS5uiN",1599034,"76.118.243.183",42.053497314453,-72.568496704102,"2018-03-31 16:05:28","2018-03-31 16:07:27",119,1,4,4,3,4,1,1,1,0,1,0,3,4,5,2,4,NA,NA,5,NA,4,3,4,NA,2,NA,1,"undesirable",1
"R_1dhORr3MIPytZm2",5829248,"67.241.217.28",44.863494873047,-68.840202331543,"2018-03-31 16:05:39","2018-03-31 16:07:40",121,1,2,1,3,4,0,1,0,1,1,0,2,2,4,2,4,NA,2,NA,NA,4,2,NA,4,2,NA,3,"oversight",1
"R_1DBg0Vbtw1OdGJO",6936009,"75.133.115.189",41.467498779297,-73.240600585938,"2018-03-31 16:06:15","2018-03-31 16:07:54",98,0,4,3,3,4,1,1,1,0,0,1,3,4,4,2,4,NA,NA,4,2,NA,3,4,NA,NA,4,5,"beneficial",1
"R_2rPdKaaN7howplx",8176141,"73.242.114.75",44.874298095703,-93.334297180176,"2018-03-31 16:05:13","2018-03-31 16:07:56",163,0,2,2,3,1,1,0,1,0,1,1,4,3,5,4,3,4,NA,5,NA,NA,NA,3,NA,4,3,5,"beneficial",1
"R_1dzAj9xrjg3fVmI",2711199,"74.130.244.111",36.879302978516,-86.459800720215,"2018-03-31 16:06:36","2018-03-31 16:08:07",90,1,4,3,3,3,1,0,1,0,1,1,4,3,4,4,4,4,NA,4,NA,NA,NA,3,NA,4,4,5,"beneficial",1
"R_2wcnZDkyxshjULI",1609712,"173.77.156.57",40.682601928711,-73.467002868652,"2018-03-31 16:07:23","2018-03-31 16:08:11",48,1,4,3,1,1,0,0,1,1,0,1,2,4,2,2,4,2,NA,NA,2,NA,NA,4,2,NA,4,3,"oversight",1
"R_AijXZFqcf1WE3m1",2662530,"108.213.140.246",29.868804931641,-95.53800201416,"2018-03-31 16:04:44","2018-03-31 16:09:09",264,1,4,1,1,2,1,0,0,1,1,1,4,5,2,3,3,4,5,NA,NA,NA,NA,NA,2,3,3,3,"oversight",1
"R_3lS1Z2zO9kaaqVC",6554249,"76.178.179.180",46.732192993164,-117.24549865723,"2018-03-31 16:04:40","2018-03-31 16:09:25",285,1,3,1,2,2,0,0,0,1,1,1,2,2,5,1,2,2,2,NA,NA,NA,NA,NA,5,1,2,3,"oversight",1
"R_Rn2U4RReeQAadWN",4564418,"24.23.240.155",37.84489440918,-122.23759460449,"2018-03-31 16:08:11","2018-03-31 16:09:28",77,1,4,3,4,4,1,1,1,1,0,0,2,3,4,3,4,NA,NA,NA,3,4,2,3,4,NA,NA,2,"jobs",1
"R_1mrxG8lYXoCTt3o",1081540,"73.20.67.33",40.575698852539,-112.33460235596,"2018-03-31 16:04:50","2018-03-31 16:09:39",288,0,3,2,2,4,0,1,0,1,1,0,3,5,4,3,4,NA,5,NA,NA,4,3,NA,4,3,NA,4,"recommender",0
"R_1pogqUKHBfe6T1C",824438,"108.184.205.177",33.747406005859,-117.99389648438,"2018-03-31 16:05:35","2018-03-31 16:09:52",257,1,2,1,3,4,1,0,1,1,1,0,2,2,2,4,4,2,NA,NA,NA,4,NA,2,2,4,NA,3,"oversight",1
"R_20Ur9UVbuPkqRTS",5263819,"75.20.148.196",38.691802978516,-89.991096496582,"2018-03-31 16:06:42","2018-03-31 16:10:07",204,0,2,2,4,5,0,1,0,0,1,1,1,2,1,4,5,NA,2,1,NA,NA,1,NA,NA,4,5,4,"recommender",0
