"StartDate","EndDate","IPAddress","Progress","duration_seconds","Finished","RecordedDate","ResponseId","LocationLatitude","LocationLongitude","AI_educated","AI_attitude","control_undesirable","control_jobs","control_oversight","control_recommender","control_beneficial","treat_beneficial_1","treat_undesirable_1","treat_jobs_1","treat_oversight_1","treat_recommender_1","attention_undesirable","attention_jobs","attention_oversight","attention_beneficial","attention_recommender","treat_beneficial_2","treat_undesirable_2","treat_jobs_2","treat_oversight_2","treat_recommender_2","learn_anything","education_level","house_income","gender","mTurkCode","treat_beneficial","treat_undesirable","treat_jobs","treat_oversight","treat_recommender","assignment_beneficial","score_beneficial","assignment_undesirable","score_undesirable","assignment_jobs","score_jobs","assignment_oversight","score_oversight","assignment_recommender","score_recommender","attention_undesirable_correct","attention_jobs_correct","attention_oversight_correct","attention_recommender_correct","attention_beneficial_correct","attention_correct"
"2018-03-31 16:05:28","2018-03-31 16:07:27","76.118.243.183",100,119,1,"2018-03-31 16:07:28","R_1OBjCNWddYS5uiN",42.053497314453,-72.568496704102,3,4,NA,NA,5,NA,4,0,3,0,0,0,0,NA,NA,NA,NA,0,0,4,0,2,1,4,4,1,1599034,NA,3,4,NA,2,0,4,1,3,1,4,0,5,1,2,1,NA,NA,NA,NA,1
"2018-03-31 16:05:39","2018-03-31 16:07:40","67.241.217.28",100,121,1,"2018-03-31 16:07:41","R_1dhORr3MIPytZm2",44.863494873047,-68.840202331543,3,4,NA,2,NA,NA,4,0,0,0,4,0,NA,NA,0,NA,NA,0,2,0,0,2,0,2,1,1,5829248,NA,2,NA,4,2,0,4,1,2,0,2,1,4,1,2,NA,NA,1,NA,NA,1
"2018-03-31 16:06:15","2018-03-31 16:07:54","75.133.115.189",100,98,1,"2018-03-31 16:07:55","R_1DBg0Vbtw1OdGJO",41.467498779297,-73.240600585938,3,4,NA,NA,4,2,NA,4,0,0,0,0,NA,NA,NA,1,NA,0,3,4,0,0,1,4,3,0,6936009,4,3,4,NA,NA,1,4,1,3,1,4,0,4,0,2,NA,NA,NA,NA,1,1
"2018-03-31 16:05:13","2018-03-31 16:07:56","73.242.114.75",100,163,1,"2018-03-31 16:07:56","R_2rPdKaaN7howplx",44.874298095703,-93.334297180176,3,1,4,NA,5,NA,NA,3,0,0,0,0,NA,NA,NA,1,NA,0,0,3,0,4,1,2,2,0,8176141,3,NA,3,NA,4,1,3,0,4,1,3,0,5,1,4,NA,NA,NA,NA,1,1
"2018-03-31 16:06:36","2018-03-31 16:08:07","74.130.244.111",100,90,1,"2018-03-31 16:08:08","R_1dzAj9xrjg3fVmI",36.879302978516,-86.459800720215,3,3,4,NA,4,NA,NA,4,0,0,0,0,NA,NA,NA,1,NA,0,0,3,0,4,1,4,3,1,2711199,4,NA,3,NA,4,1,4,0,4,1,3,0,4,1,4,NA,NA,NA,NA,1,1
"2018-03-31 16:07:23","2018-03-31 16:08:11","173.77.156.57",100,48,1,"2018-03-31 16:08:12","R_2wcnZDkyxshjULI",40.682601928711,-73.467002868652,1,1,2,NA,NA,2,NA,0,0,0,2,0,NA,NA,0,NA,NA,4,0,4,0,0,0,4,3,1,1609712,4,NA,4,2,NA,1,4,0,2,1,4,1,2,0,2,NA,NA,1,NA,NA,1
"2018-03-31 16:04:44","2018-03-31 16:09:09","108.213.140.246",100,264,1,"2018-03-31 16:09:09","R_AijXZFqcf1WE3m1",29.868804931641,-95.53800201416,1,2,4,5,NA,NA,NA,0,0,0,2,0,NA,NA,0,NA,NA,3,0,0,0,3,1,4,1,1,2662530,3,NA,NA,2,3,1,3,0,4,0,5,1,2,1,3,NA,NA,1,NA,NA,1
"2018-03-31 16:04:40","2018-03-31 16:09:25","76.178.179.180",100,285,1,"2018-03-31 16:09:26","R_3lS1Z2zO9kaaqVC",46.732192993164,-117.24549865723,2,2,2,2,NA,NA,NA,0,0,0,5,0,NA,NA,0,NA,NA,2,0,0,0,1,0,3,1,1,6554249,2,NA,NA,5,1,1,2,0,2,0,2,1,5,1,1,NA,NA,1,NA,NA,1
"2018-03-31 16:08:11","2018-03-31 16:09:28","24.23.240.155",100,77,1,"2018-03-31 16:09:29","R_Rn2U4RReeQAadWN",37.84489440918,-122.23759460449,4,4,NA,NA,NA,3,4,0,0,3,0,0,NA,1,NA,NA,NA,0,2,0,4,0,1,4,3,1,4564418,NA,2,3,4,NA,0,4,1,2,1,3,1,4,0,3,NA,1,NA,NA,NA,1
"2018-03-31 16:04:50","2018-03-31 16:09:39","73.20.67.33",100,288,1,"2018-03-31 16:09:40","R_1mrxG8lYXoCTt3o",40.575698852539,-112.33460235596,2,4,NA,5,NA,NA,4,0,0,0,0,3,NA,NA,NA,NA,1,0,3,0,4,0,0,3,2,0,1081540,NA,3,NA,4,3,0,4,1,3,0,5,1,4,1,3,NA,NA,NA,1,NA,1
