"","StartDate","EndDate","IPAddress","Progress","duration_seconds","Finished","RecordedDate","ResponseId","LocationLatitude","LocationLongitude","AI_educated","AI_attitude","control_undesirable","control_jobs","control_oversight","control_recommender","control_beneficial","treat_beneficial_1","treat_undesirable_1","treat_jobs_1","treat_oversight_1","treat_recommender_1","attention_undesirable","attention_jobs","attention_oversight","attention_beneficial","attention_recommender","treat_beneficial_2","treat_undesirable_2","treat_jobs_2","treat_oversight_2","treat_recommender_2","learn_anything","education_level","house_income","gender","mTurkCode","treat_beneficial","treat_undesirable","treat_jobs","treat_oversight","treat_recommender"
"1","2018-03-15 18:55:41","2018-03-15 18:57:18","73.217.68.35",100,96,1,"2018-03-15 18:57:18","R_Unf1fOtqxRFhUsh",39.708999633789,-105.09100341797,4,4,4,NA,3,NA,NA,0,0,0,0,4,NA,NA,NA,NA,0,3,0,3,0,0,NA,0,1,1,5479530,3,NA,3,NA,4
"2","2018-03-15 19:21:02","2018-03-15 19:23:11","67.171.17.53",100,128,1,"2018-03-15 19:23:12","R_3GfizUVFKEsGYpv",47.684692382812,-122.38479614258,4,3,NA,2,5,NA,NA,0,0,0,0,2,NA,NA,NA,NA,0,5,3,0,0,0,NA,4,4,0,3775582,5,3,NA,NA,2
"3","2018-03-15 19:23:33","2018-03-15 19:25:06","67.171.17.53",100,93,1,"2018-03-15 19:25:06","R_DCAnEKbJsgv3trb",47.684692382812,-122.38479614258,3,5,2,NA,5,NA,NA,2,0,0,0,0,NA,NA,NA,1,NA,0,0,3,0,2,NA,4,1,1,6672356,2,NA,3,NA,2
"4","2018-03-15 20:52:49","2018-03-15 20:54:18","157.22.33.222",100,88,1,"2018-03-15 20:54:18","R_2rrwecdTUhhkKFE",37.457595825195,-122.10409545898,3,3,4,NA,NA,3,NA,0,0,0,3,0,NA,NA,0,NA,NA,3,0,3,0,0,NA,4,3,1,3654353,3,NA,3,3,NA
"5","2018-03-15 21:00:42","2018-03-15 21:03:28","157.22.33.222",100,165,1,"2018-03-15 21:03:28","R_zT1Sx1mHwdNOoUh",37.457595825195,-122.10409545898,4,5,4,3,NA,NA,NA,0,0,0,0,4,NA,NA,NA,NA,0,4,0,0,4,0,NA,4,4,1,5928074,4,NA,NA,4,4
"6","2018-03-15 21:06:57","2018-03-15 21:17:17","67.171.17.53",100,620,1,"2018-03-15 21:17:18","R_tXKYcDkZglublvz",47.684692382812,-122.38479614258,1,NA,NA,2,2,NA,NA,0,0,0,0,2,NA,NA,NA,NA,0,2,1,0,0,0,0,1,2,1,4202529,2,1,NA,NA,2
"7","2018-03-15 21:21:49","2018-03-15 21:22:37","69.47.37.88",100,47,1,"2018-03-15 21:22:37","R_3Evb04RNlYI5Iyc",41.693496704102,-87.614501953125,4,3,4,NA,NA,NA,2,0,0,3,0,0,NA,0,NA,NA,NA,0,0,0,4,3,0,2,2,1,9524712,NA,NA,3,4,3
"8","2018-03-15 21:21:45","2018-03-15 21:23:00","24.3.177.13",100,74,1,"2018-03-15 21:23:00","R_YbPdD7ozXwxwcVj",40.406692504883,-80.110801696777,4,5,NA,NA,3,NA,5,0,0,1,0,0,NA,1,NA,NA,NA,0,1,0,0,4,0,4,2,0,6033896,NA,1,1,NA,4
"9","2018-03-15 21:22:07","2018-03-15 21:23:02","162.244.80.229",100,55,1,"2018-03-15 21:23:02","R_1pKKstY8ljkd8ue",44.433303833008,26.100006103516,5,3,3,NA,4,NA,NA,0,0,3,0,0,NA,1,NA,NA,NA,3,0,0,0,4,0,2,2,1,5260187,3,NA,3,NA,4
"10","2018-03-15 21:22:06","2018-03-15 21:23:09","98.4.245.33",100,63,1,"2018-03-15 21:23:09","R_31syjlAIwsl5NTq",42.885406494141,-78.750297546387,4,4,NA,NA,5,4,NA,0,0,2,0,0,NA,0,NA,NA,NA,4,2,0,0,0,1,1,1,1,8792746,4,2,2,NA,NA
"11","2018-03-15 21:22:22","2018-03-15 21:23:26","71.45.145.70",100,64,1,"2018-03-15 21:23:27","R_3sucSZcwEIPJVLg",33.608001708984,-86.647201538086,3,2,3,NA,NA,NA,2,0,0,3,0,0,NA,1,NA,NA,NA,0,0,0,2,3,1,3,1,0,1677423,NA,NA,3,2,3
"12","2018-03-15 21:21:56","2018-03-15 21:24:16","68.8.4.23",100,140,1,"2018-03-15 21:24:17","R_3Pe3lfA7mTowKaZ",32.69580078125,-117.11889648438,2,3,3,NA,NA,2,NA,0,0,0,3,0,NA,NA,0,NA,NA,4,0,2,0,0,0,2,4,1,3606391,4,NA,2,3,NA
