"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1_1","Q3_1","Q6_1","Q8_1","Q10_1","Q12_1","Q20_1","Q5_1","Q7_1","Q9_1","Q11_1","Q13_1","Q18","Q19","Q23","Q17","Q24","Q33_1","Q34_1","Q35_1","Q36_1","Q37_1","Q31","Q14","Q15","Q16","mTurkCode"
"2018-03-30 11:02:20","2018-03-30 11:03:43","IP Address","71.87.65.50","100","83","True","2018-03-30 11:03:44","R_vTRdSCm9qAskLND","","","","","45.927795410156","-87.994400024414","anonymous","EN","3","3","","3","4","","","","","","","4","","","","","True","3","2","","","","No","Bachelors Degree","0 - $50,000","Female","515903"
"2018-03-30 11:00:26","2018-03-30 11:04:07","IP Address","96.59.173.253","100","221","True","2018-03-30 11:04:08","R_2BqVK8qCX1vhcSV","","","","","28.04069519043","-81.904296875","anonymous","EN","2","4","","2","","","4","","","","","1","","","","","True","","2","","4","","No","High School","0 - $50,000","Female","336186"
"2018-03-30 11:02:12","2018-03-30 11:04:36","IP Address","47.196.99.191","100","144","True","2018-03-30 11:04:37","R_3EYxlGNPU9Rozgg","","","","","27.900299072266","-82.302398681641","anonymous","EN","3","5","","4","","","3","","","","3","","","","False","","","","5","","","1","Yes","High School","0 - $50,000","Male","6707831"
"2018-03-30 11:14:29","2018-03-30 11:20:13","IP Address","68.59.23.65","100","344","True","2018-03-30 11:20:13","R_1LnA9shhc8pe6oe","","","","","42.426803588867","-83.193496704102","anonymous","EN","2","2","","","4","","3","","","1","","","","False","","","","","1","","","1","No","High School","0 - $50,000","Female","6956345"
"2018-03-30 11:30:54","2018-03-30 11:33:06","IP Address","172.56.29.252","100","131","True","2018-03-30 11:33:06","R_28SNczvnKwQObLT","","","","","39.952102661133","-75.118202209473","anonymous","EN","4","3","","","","4","3","","","","5","","","","False","","","","4","5","","","No","Bachelors Degree","$50,000 - $100,000","Male","8893838"
"2018-03-30 11:31:24","2018-03-30 11:34:48","IP Address","173.22.6.76","100","203","True","2018-03-30 11:34:48","R_2wa7IS9SgzMhITp","","","","","44.334106445312","-94.061698913574","anonymous","EN","2","3","","","","2","3","","","2","","","","True","","","","","3","","3","","Yes","Bachelors Degree","$100,000 - $150,000","Male","2991572"
"2018-03-30 12:18:59","2018-03-30 12:22:00","IP Address","172.113.106.139","100","180","True","2018-03-30 12:22:00","R_81YOWp6KvDAmkYp","","","","","33.912902832031","-118.34390258789","anonymous","EN","3","4","2","4","","","","","","","","4","","","","","True","3","","","4","","Yes","High School","0 - $50,000","Male","2440025"
"2018-03-30 12:43:34","2018-03-30 12:45:21","IP Address","144.15.255.227","100","106","True","2018-03-30 12:45:21","R_10IpTPIA32zP2AW","","","","","44.979995727539","-93.263801574707","anonymous","EN","3","4","2","","5","","","","","","","3","","","","","True","4","","3","","","No","Bachelors Degree","$50,000 - $100,000","Female","2915551"
"2018-03-30 14:43:29","2018-03-30 14:45:48","IP Address","24.158.191.7","100","138","True","2018-03-30 14:45:49","R_1LzdzjhStlufnXO","","","","","34.891403198242","-85.120697021484","anonymous","EN","3","2","5","","","","2","","","4","","","","True","","","","","","","5","2","Yes","Bachelors Degree","$50,000 - $100,000","Female","6182028"
"2018-03-30 15:16:47","2018-03-30 15:18:33","IP Address","68.103.172.177","100","106","True","2018-03-30 15:18:34","R_2ya597xWmKJbT2T","","","","","37.802001953125","-99.998199462891","anonymous","EN","2","1","","4","","1","","2","","","","","","","","True","","","2","","5","","No","0 - 2 years of graduate school","0 - $50,000","Male","4507379"
